Rock_name,SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2
Dacite,65.01,0.64,15.78,4.21,3.63,2.19,0.07,0.12,6.31,0.09706199046
Dacite,63.15,0.64,15.68,6.19,5.69,2.32,0.13,0.09,4.5,0.07125890736
Dacite,65.56,0.49,16.02,3.57,4.5,1.93,0.07,0.18,6.58,0.1003660769
Dacite,66.62,0.75,15.67,4.3,4.43,1.56,0.11,0.18,5.9,0.0885619934
Dacite,63.5,0.58,16.1,4.9,5.25,2.81,0.09,0.17,6.08,0.0957480315
Dacite,63.14,0.6,17.2,4.18,4.54,1.84,0.09,0.26,7.02,0.1111815014
Dacite,66.38,0.76,14.04,5.01,2.57,0.78,0.12,0.18,7.43,0.1119313046
Dacite,67.41,0.56,15.9,3.38,4.34,1.9,0.06,0.17,5.96,0.08841418187
Dacite,64.66,0.67,15.53,3.94,4.49,2,0.07,0.16,6.73,0.1040828951
Dacite,66.41,0.89,12.87,5.44,2.95,1.52,0.11,0.28,6.86,0.1032976961
Dacite,64.08,0.67,16.22,5.21,5.71,2.43,0.13,0.14,4.99,0.07787141074
Dacite,65.4,0.9619,12.5,7.45,4.05,1.23,0.0516,0.3343,6.38,0.09755351682
Dacite,66.48,0.48,15.58,3.36,4.49,1.84,0.06,0.1,6.17,0.09280986763
Dacite,66.35,0.61,16.73,3.91,2.91,2.12,0.1,0.18,7.37,0.1110776187
Dacite,67.9,0.89,14.51,4.38,3.2,1,0.13,0.26,6.39,0.0941089838
Dacite,68,0.58,15.1,3.74,1.88,0.91,0.06,0.16,6.59,0.09691176471
Dacite,67.58,0.55,14.87,3.47,2.47,1.49,0.06,0.12,6.73,0.09958567624
Dacite,64.24,0.47,15.75,4.15,5.3,2.6,0.11,0.15,6.24,0.09713574097
Dacite,68.75,0.53,16.32,3.72,2.88,0.66,0.1,0.05,6.57,0.09556363636
Dacite,65.57,0.874,12.56,9.79,3.72,0.76,0.14,0.43,4.3,0.06557877078
Dacite,63.66,0.63,15.92,4.7,4.56,1.97,0.1,0.16,6.37,0.1000628338
Dacite,69.6,0.43,14.38,3.06,4.05,1.65,0.06,0.08,6.68,0.09597701149
Dacite,67.99,0.54,20.59,3.44,1.76,0.26,0.03,0.13,4.88,0.07177526107
Dacite,65.94,0.42,17.11,3.26,4.62,1.76,0.08,0.15,5.98,0.0906885047
Dacite,63.5,0.7,16.13,4.05,5.28,2.42,0.08,0.24,6.35,0.1
Dacite,68.92,0.52,15.22,3.88,3.76,1.16,0.11,0.09,5.2,0.07544979687
Dacite,64.25,0.45,16.45,5.38,5.59,2.01,0.144,0.108,4.93,0.07673151751
Dacite,68.63,0.22,16.84,1.73,3.44,1.76,0.03,0.13,5.78,0.08421972898
Dacite,65.82,0.61,15.75,3.66,3.87,1.64,0.07,0.21,7.28,0.1106046794
Dacite,65.27,0.57,16.68,3.68,4.99,1.37,0.08,0.17,6.37,0.09759460702
Dacite,69.47,0.43,14.83,2.81,2.45,0.73,0.06,0.1,7.43,0.1069526414
Dacite,63.2,0.74,15.84,4.76,5.01,2.82,0.08,0.17,6.56,0.1037974684
Dacite,65.41,0.91,14.36,7.39,2.29,2.98,0.1,0.17,5.46,0.083473475
Dacite,63.61,0.61,15.76,3.93,5.09,2.42,0.07,0.16,5.95,0.09353875177
Dacite,71.1,0.6396,11.2,7.32,1.62,1.25,0.0658,0.1328,5.64,0.07932489451
Dacite,65.2,0.8,15.24,5.6,4.92,1.5,0.21,0.19,4.91,0.07530674847
Dacite,65.75,0.71,15.53,4.3,3.4,1.18,0.1,0.272,7.44,0.1131558935
Dacite,66.02,0.72,15.83,3.92,4.22,2.29,0.08,0.14,6.62,0.1002726447
Dacite,67.11,0.33,17.55,4.11,2.59,0.84,0.13,0.29,6.05,0.09015049918
Dacite,67.67,0.59,13.95,4.77,4.62,1.22,0.2,0.17,4.1,0.06058814837
Dacite,64.04,0.44,17.02,3.94,5.13,2.86,0.09,0.15,5.69,0.0888507183
Dacite,63.57,0.74,16.39,4.49,4.99,3.43,0.09,0.18,6.04,0.09501337109
Dacite,67.9,0.72,14.4,4.66,3.3,1.4,0.14,0.14,7.1,0.1045655376
Dacite,71,0.2,16.7,1.71,4,0.9,0,0.06,5.4,0.07605633803
Dacite,65.58,0.55,16.23,5.04,3.71,1.33,0.13,0.22,6.65,0.1014028667
Dacite,63.32,0.67,16.55,4.38,4.57,2.87,0.05,0.19,6.51,0.1028111181
Dacite,64.42,0.57,15.74,4.54,5.03,2.06,0.11,0.15,6.61,0.1026078857
Dacite,63.26,0.17,17.2,4.36,5.47,1.55,0.11,0.17,6.16,0.09737590895
Dacite,64.3,0.73,16.64,4.23,4.88,1.85,0.09,0.26,6.57,0.1021772939
Dacite,67.51,0.41,16.07,2.98,4.14,1.73,0.07,0.09,7,0.1036883425
Dacite,65.19,0.41,17.62,3.38,4.71,1.75,0.07,0.14,6.36,0.09756097561
Dacite,71.08,0.4,14.5,2.92,4.26,0.69,0.045,0.121,5.65,0.07948790096
Dacite,68.45,0.38,14.88,3.79,2.97,1.05,0.07,0.09,5.93,0.08663257852
Dacite,63.92,0.7,15.94,5.6,5.29,2.58,0.13,0.1,4.78,0.07478097622
Dacite,69.34,0.45,15.93,3.14,2.99,1.57,0.05,0.1,6.34,0.09143351601
Dacite,67.2,0.7816,12,5.56,5.06,1.7,0.0851,0.2107,6.54,0.09732142857
Dacite,63.37,0.57,16.54,5.63,5.41,2.68,0.09,0.14,5.58,0.08805428436
Dacite,65.16,0.32,18.92,3.24,4.05,1.34,0.09,0.37,6.5,0.09975445058
Dacite,66.53,0.48,15.14,4.45,2.51,0.59,0.15,0.11,7.24,0.1088230873
Dacite,64.04,0.65,17.08,3.85,4.31,2.04,0.06,0.16,6.51,0.1016552155
Dacite,67.92,0.53,16.72,3.66,3.35,1.04,0.11,0.03,6.22,0.09157832744
Dacite,65.38,0.44,15.85,5.18,5.47,1.99,0.139,0.097,4.8,0.07341694708
Dacite,64,0.63,15.82,3.88,4.78,3.12,0.07,0.21,6.37,0.09953125
Dacite,72.31,0.45,17.24,3.17,2.3,0.39,0.06,0.05,3.69,0.05103028627
Dacite,63.43,0.72,14.5,6.29,3.49,2.09,0.15,0.27,6.43,0.1013715907
Dacite,66.32,0.96,13.37,5.47,4.84,2.8,0.1,0.19,5.29,0.07976477684
Dacite,68,0.74,15.33,3.7,3.28,0.85,0.06,0.22,7.39,0.1086764706
Dacite,67.2,0.61,15.6,3.33,4.5,1.2,0.078,0.16,6.8,0.1011904762
Dacite,66.61,0.51,15.31,4.42,2.62,0.62,0.16,0.12,7.03,0.1055397088
Dacite,66.8,0.61,16.1,3.57,4.22,1.94,0.07,0.17,6.51,0.09745508982
Dacite,68.232,0.434,14.97,2.56,3.862,1.439,0.085,0.074,5.537,0.08114960722
Dacite,64.7,0.66,16.17,4.25,4.87,2.37,0.07,0.16,6.29,0.0972179289
Dacite,63.99,0.62,15.39,6.55,5.35,1.34,0.13,0.19,4.54,0.07094858572
Dacite,63.95,0.64,16.02,3.99,4.37,2.42,0.08,0.16,6.29,0.09835809226
Dacite,66.56,0.65,16.15,3.91,4.95,1.82,0.1,0.17,5.71,0.08578725962
Dacite,66.32,0.68,16.48,3.71,3.84,1.74,0.08,0.28,6.78,0.1022316043
Dacite,65.2,0.64,13.5,6.35,4.46,2.19,0.17,0.14,6.01,0.09217791411
Dacite,68.22,0.405,15.03,3.07,3.025,1.149,0.0678,0.09,7.37,0.1080328349
Dacite,63.44,0.55,15.17,5.32,6.04,2.7,0.12,0.12,5.14,0.08102143758
Dacite,67.76,0.4,15.69,3.37,3.27,0.34,0.04,0.17,7.62,0.1124557261
Dacite,69.44,0.66,13.99,5.1,4.02,0.92,0.19,0.18,4.93,0.07099654378
Dacite,64.93,0.46,16.94,3.47,3.99,1.17,0.1,0.19,7.28,0.1121207454
Dacite,63.5,0.71,15.84,4.77,5.05,2.9,0.08,0.17,6.45,0.1015748031
Dacite,64.4,0.738,15.62,3.85,4,1.56,0.078,0.17,6.76,0.1049689441
Dacite,63.21,0.64,15.46,4.3,4.15,2.32,0.07,0.18,6.74,0.106628698
Dacite,66.65,0.43,16.96,3.72,5.29,1.44,0.12,0.11,4.86,0.07291822956
Dacite,68,0.45,14.78,4.12,2.4,1.28,0.1,0.14,7.06,0.1038235294
Dacite,64.45,0.52,16.15,5.34,6.07,2.18,0.121,0.067,4.42,0.0685802948
Dacite,65.03,0.61,14.41,6.82,5.09,2.62,0.11,0.12,5.28,0.0811932954
Dacite,66.05,0.34,15.04,3.48,4.16,2.78,0.03,0.12,6.84,0.1035579107
Dacite,63.14,0.41,18.04,4.02,5.85,1.86,0.09,0.17,5.47,0.08663287932
Dacite,63.2,0.93,15.95,5.95,4.36,1.67,0.16,0.23,6.89,0.1090189873
Dacite,68.5,0.51,16.49,3.61,3.12,0.8,0.11,0.03,6.44,0.09401459854
Dacite,65.5,0.64,13.4,6.69,4.54,1.34,0.16,0.14,4.93,0.07526717557
Dacite,68.09,0.66,16.6,3.95,2.29,1.51,0.03,0.28,6.15,0.09032163313
Dacite,68.15,0.44,15.61,5.17,0.25,2.61,0.15,0.13,6.92,0.101540719
Dacite,70,0.44,14.43,3.45,1.42,2.03,0.05,0.1,6.72,0.096
Dacite,64.78,0.65,15.67,4.25,4.49,2.35,0.08,0.19,6.98,0.1077493053
Dacite,66,0.56,16.8,3.28,3.37,1.48,0.08,0.22,7,0.1060606061
Dacite,67.47,0.49,15.77,3.12,3.84,1.76,0.06,0.2,7.29,0.1080480213
Dacite,64.05,0.92,15.65,5.91,4.03,1.34,0.15,0.3,7.1,0.1108508977
Dacite,66,0.41,16.2,2.92,4.19,1.11,0.05,0.16,5.97,0.09045454545
Dacite,65.92,0.48,15.67,3.45,4.65,2.03,0.06,0.14,6,0.09101941748
Dacite,65.2,0.38,16.95,2.35,3.89,2.49,0.03,0.15,7.12,0.109202454
Dacite,64,0.58,16.4,4.98,5.37,2.28,0.09,0.16,5.63,0.08796875
Dacite,65.74,0.46,15.28,4.24,5.51,2.66,0.1,0.1,5.01,0.0762093094
Dacite,65.63,0.8,14.77,5.57,4.49,1.79,0.15,0.26,5.71,0.08700289502
Dacite,66.78,0.59,16.61,3.53,4.32,2.05,0.07,0.11,5.96,0.08924827793
Dacite,65.72,0.9,12.6,7.25,2.74,1.24,0.1,0.27,6.94,0.1055995131
Dacite,67.41,0.43,16.49,2.45,2.02,0.71,0.1,0.12,7.38,0.1094793057
Dacite,63.5,0.7,15.95,4.02,4.94,2.99,0.07,0.24,6.77,0.1066141732
Dacite,65.3,0.72,16.1,5.27,1.25,2.83,0.09,0.16,5.78,0.08851454824
Dacite,63.07,0.72,16.51,4.95,5.19,3.37,0.08,0.12,5.43,0.08609481528
Dacite,66.35,0.78,16.01,5.43,2.56,2.49,0.16,0.19,5.44,0.08198944989
Dacite,66.15,0.5,15.78,3.8,4.13,2.68,0.06,0.087,5.34,0.08072562358
Dacite,64.97,0.98,15.01,6.87,5.03,1.38,0.12,0.13,4.05,0.06233646298
Dacite,66.23,0.51,16.18,2.36,4.43,1.25,0.02,0.23,6.75,0.10191756
Dacite,64.1,0.41,16.5,4.8,4.9,2.52,0.08,0.14,5.79,0.0903276131
Dacite,65.48,0.58,16.22,3.94,4.91,2.15,0.06,0.15,6.52,0.09957238852
Dacite,64.68,0.52,16.97,3.79,4.5,2.04,0.08,0.17,5.94,0.09183673469
Dacite,68.1,0.5,16.17,2.78,3.78,1.66,0.05,0.18,6.95,0.1020558003
Dacite,63.77,0.66,16.09,4.05,4.48,2.52,0.06,0.18,6.75,0.1058491454
Dacite,65.2,0.55,16.2,5.07,4.58,1.95,0.18,0.15,5.62,0.08619631902
Dacite,63.19,1,13.44,9.02,3.38,2.23,0.13,0.26,6.32,0.1000158253
Dacite,63.42,0.66,16.03,5.7,5.86,2.81,0.14,0.14,4.84,0.07631661936
Dacite,64.19,0.6,16.43,3.59,4.19,1.68,0.06,0.17,6.34,0.0987692787
Dacite,64.17,0.43,15.91,3.81,4.56,2.86,0.04,0.18,6.29,0.09802088203
Dacite,63.493,0.455,16.476,4.27,5.43,2.062,0.141,0.135,5.165,0.08134755012
Dacite,65.95,0.53,15.42,3.1,2.89,1.89,0.07,0.17,7.12,0.1079605762
Dacite,64.27,1.2,12.64,10.34,3.51,2.75,0.13,0.16,5.02,0.07810798195
Dacite,70.71,0.25,15.25,1.74,2.96,0.7,0.03,0.08,6.2,0.08768208174
Dacite,65.1,0.593,16.4,3.56,3.86,1.68,0.06,0.19,7.32,0.1124423963
Dacite,66.09,0.58,13.8,7.73,5.64,1.4,0.18,0.23,4.23,0.06400363141
Dacite,64.09,0.54,12.51,4.19,9.33,2.28,0.15,0.2,6.23,0.09720705258
Dacite,63.77,0.66,15.63,5.18,4.31,2.2,0.1,0.14,6.15,0.09644033244
Dacite,63.42,0.69,15.73,4.81,5.47,2.78,0.06,0.22,5.74,0.09050772627
Dacite,65,0.55,16.1,4.2,3.98,2.07,0.06,0.16,6.88,0.1058461538
Dacite,64.07,0.44,17.33,3.45,4.28,3.12,0.07,0.23,6.58,0.1027001717
Dacite,66.78,0.7,14.23,4.64,3.82,2.34,0.07,0.18,5.26,0.07876609763
Dacite,64.52,1.13,12.84,7.99,2.53,0.76,0.18,0.39,6.9,0.1069435834
Dacite,67.01,0.42,14.9,3.96,4.83,2.62,0.1,0.09,5.63,0.08401731085
Dacite,65.87,0.69,15.72,3.86,4.01,1.94,0.08,0.17,6.43,0.09761651738
Dacite,67.09,0.36,16.15,2.92,2.39,1.37,0.05,0.12,6.74,0.1004620659
Dacite,65.1,0.58,15.83,3.54,4.56,2.24,0.06,0.24,6.48,0.09953917051
Dacite,67.13,0.65,15.93,4.28,4.61,2.22,0.07,0.19,4.46,0.06643825413
Dacite,64.97,0.9,13.73,7.92,5.5,1.49,0.16,0.12,4.47,0.06880098507
Dacite,64.25,0.73,14.95,4.58,4.13,2.99,0.05,0.14,6.69,0.1041245136
Dacite,63.7,0.39,16.4,4.45,4.85,2.15,0.08,0.15,5.73,0.08995290424
Dacite,65,0.42,16.93,3.71,5.6,1.62,0.1,0.19,4.79,0.07369230769
Dacite,63.3,0.72,17.3,4.42,5.35,2.43,0.08,0.19,5.9,0.09320695103
Dacite,68.6,0.4,17.4,2.97,3.7,1.45,0.1,0.14,4.8,0.06997084548
Dacite,65.6,0.99,16.99,6.07,4.27,0.71,0.53,0.66,4.29,0.06539634146
Dacite,63.66,0.61,15.81,4.11,4.77,3.57,0.08,0.17,5.75,0.09032359409
Dacite,64.53,0.52,14.75,3.86,5.33,2.37,0.1,0.18,6.82,0.1056872772
Dacite,64.09,0.9,16.57,4.39,4.45,2.28,0.08,0.21,6.87,0.1071930098
Dacite,68.04,0.67,12.36,7.04,1.51,0.95,0.14,0.18,7.18,0.1055261611
Dacite,65.57,0.65,13.65,4.27,4.3,3.05,0.12,0.11,5.88,0.08967515632
Dacite,64.3,0.65,16.45,4.79,4.75,2.28,0.07,0.19,6.47,0.100622084
Dacite,63.89,0.81,16.34,4.2,4.49,2.29,0.06,0.28,7.13,0.1115980592
Dacite,65.1,0.61,15.6,4.71,5.15,2.2,0.083,0.04,5.94,0.09124423963
Dacite,63.33,0.62,15.05,5.42,6.94,3.15,0.11,0.11,4.48,0.07074056529
Dacite,63.03,0.52,15.75,4.87,4.13,2.86,0.09,0.18,5.58,0.08852927178
Dacite,67.55,0.34,15.95,2.59,4.05,1.36,0.06,0.1,5.81,0.08601036269
Dacite,64.8,0.6,16.9,4,4.5,1.7,0.1,0.2,7.2,0.1111111111
Dacite,69.89,0.61,13.9,4.34,3.07,0.91,0.13,0.12,6.63,0.0948633567
Dacite,65.11,0.58,16.36,5.12,4.73,1.48,0.09,0.13,5.82,0.08938719091
Dacite,68.25,0.47,15.07,3.93,3.97,0.99,0.17,0.16,5.37,0.07868131868
Dacite,64.26,0.407,17.08,4.67,5.42,1.54,0.276,0.2,5.614,0.08736383442
Dacite,67.28,0.6,15.88,3.33,3.85,2.3,0.05,0.14,6.19,0.09200356718
Dacite,69.29,0.45,14.31,3.56,2.2,2.32,0.05,0.1,5.64,0.08139702699
Dacite,63.8,0.75,16.15,4.05,4.86,2.29,0.07,0.28,6.5,0.1018808777
Dacite,67.68,0.93,16.29,5.1,0.38,2.88,0.04,0.19,4.46,0.06589834515
Dacite,63.73,0.66,16.36,5.51,5.17,2.47,0.12,0.17,5.42,0.08504628903
Dacite,63.27,0.45,16.11,6.28,6.71,2.48,0.15,0.06,3.64,0.05753121543
Dacite,69,0.52,15.6,3,2.57,1.02,0.08,0.13,7.6,0.1101449275
Dacite,65.19,0.45,14.99,4.42,5.32,2.33,0.09,0.08,4.96,0.07608528915
Dacite,65.4,0.63,15.68,3.85,4.16,2.48,0.07,0.2,6.43,0.09831804281
Dacite,65.96,0.68,16.15,4.46,3.74,2.43,0.07,0.15,6.37,0.09657368102
Dacite,64.3,0.87,16.1,5.3,4.98,2.86,0.09,0.19,5.91,0.09191290824
Dacite,63.4,1.21,12.6,8,4.23,1.42,0.15,0.34,6.15,0.09700315457
Dacite,70.28,0.24,15.26,2.5,1.71,0.88,0.06,0.09,6.67,0.09490608993
Dacite,68.46,0.49,17.9,3.2,2.76,0.44,0.08,0.03,6.27,0.09158632778
Dacite,66.319,0.633,15.746,3.68,3.294,0.827,0.065,0.162,7.424,0.1119437868
Dacite,63.6,0.63,15.85,4.11,4.46,2.41,0.08,0.18,7.04,0.1106918239
Dacite,65.5,0.6,15.8,4.11,4.18,2.15,0.07,0.13,6.9,0.1053435115
Dacite,67.5,0.32,15.4,2.45,3.69,1.65,0.07,0.18,6.77,0.1002962963
Dacite,64.63,0.69,15.93,4.41,4.73,2.65,0.09,0.21,6.98,0.1079993811
Dacite,70,0.43,14.27,3.47,2.09,2.2,0.05,0.1,5.66,0.08085714286
Dacite,63.57,0.53,17.21,4.08,6.23,2.91,0.1,0.19,5.19,0.0816422841
Dacite,64.75,0.562,16.15,4.32,4.772,1.834,0.0849,0.135,5.83,0.09003861004
Dacite,66.32,0.95,12.9,6.18,2.99,1.6,0.1,0.27,6.82,0.1028347407
Dacite,65.6,0.41,15.54,3.68,3.75,1.75,0.09,0.09,6.26,0.09542682927
Dacite,66.49,0.41,15.47,3.61,5.34,1.35,0.15,0.14,6.64,0.0998646413
Dacite,63.5,0.62,17.91,3.75,4.52,1.9,0.06,0.18,6.06,0.09543307087
Dacite,64.4,0.756,15.76,6.17,4.65,1.55,0.188,0.3,6.35,0.09860248447
Dacite,64.61,0.61,17.06,3.76,3.67,1.82,0.04,0.17,6.4,0.0990558737
Dacite,70.8,0.37,14.5,2.68,3.4,1.07,0.06,0.08,5.66,0.07994350282
Dacite,64.3,0.48,17.52,4.34,4.72,0.95,0.26,0.13,4.93,0.0766718507
Dacite,64.08,0.97,16.44,5.43,4.27,1.72,0.09,0.19,6.41,0.100031211
Dacite,66.04,0.94,12.85,6.35,3.02,1.59,0.11,0.29,6.91,0.1046335554
Dacite,64,0.38,16,4.36,4.6,2.17,0.08,0.14,5.76,0.09
Dacite,63.98,0.96,15.69,5.48,4.52,2.13,0.16,0.22,6.47,0.1011253517
Dacite,66.8,0.58,15.9,3.46,3.53,1.11,0.06,0.17,6.78,0.101497006
Dacite,65.76,0.43,16,3.49,4.38,1.72,0.044,0.09,6.38,0.09701946472
Dacite,66.85,0.83,13.24,6.11,4.85,1.68,0.17,0.28,5.84,0.08735976066
Dacite,64.6,0.64,16.14,3.64,4.37,2.32,0.06,0.24,6.76,0.1046439628
Dacite,68.63,0.26,17.27,2.12,2.62,0.85,0.08,0.17,7.78,0.1133615037
Dacite,69.07,0.76,15.09,4.27,2.65,0.68,0.09,0.18,6.47,0.09367308528
Dacite,65.37,0.51,17.13,3.7,4.41,1.99,0.08,0.06,6.19,0.09469175463
Dacite,64.52,0.99,14.25,7.48,5.04,2.07,0.11,0.38,5.17,0.08013019219
Dacite,66.23,0.58,14.74,4.39,4.68,2.45,0.09,0.11,6.06,0.09149932055
Dacite,65.07,0.98,14.39,4.89,3.7,1.3,0.13,0.26,6.72,0.1032733979
Dacite,65.84,0.54,15.95,3.54,5.33,2.79,0.07,0.16,5.79,0.08794046173
Dacite,64.18,0.84,15.75,5.88,4.26,1.57,0.14,0.32,6.4,0.0997195388
Dacite,63.38,0.62,17.91,4.7,5.5,1.62,0.08,0.18,5.49,0.08662038498
Dacite,67.24,0.435,15.01,2.96,4.41,2.32,0.06,0.235,6.19,0.09205829863
Dacite,63.47,0.71,16.63,4.58,4.46,2.59,0.08,0.18,6.71,0.1057192374
Dacite,64.61,0.69,15.15,6.26,4.91,2.5,0.13,0.09,4.9,0.0758396533
Dacite,63.76,0.66,15.88,6.07,5.97,2.92,0.11,0.09,4.54,0.07120451694
Dacite,67.54,0.62,13.54,6.43,3.93,0.74,0.17,0.18,5.36,0.07936037903
Dacite,66.77,0.741,15.36,4.57,3.4,1.1,0.146,0.187,7.22,0.1081323948
Dacite,68.48,0.56,14.45,4.22,3.51,1.1,0.08,0.16,6.48,0.09462616822
Dacite,67.4,0.5,14.5,4.05,3.2,0.6,0.1,0.1,6.9,0.1023738872
Dacite,68.33,0.68,14.01,5.74,4.15,1.2,0.08,0.3,5.51,0.08063807991
Dacite,66,0.53,15.95,3.89,4.03,1.9,0.06,0.17,6.87,0.1040909091
Dacite,68.24,0.73,15.82,4.67,0.05,4.18,0.06,0.11,4.41,0.06462485346
Dacite,65.9,0.62,16.4,3.39,4.47,2.09,0.07,0.15,6.54,0.09924127466
Dacite,67.05,0.9,12.47,6.78,2.79,1.18,0.11,0.27,7.02,0.1046979866
Dacite,67.49,0.44,15.64,3.2,3.47,0.95,0.07,0.11,6.73,0.09971847681
Dacite,66.6,0.55,15.97,3.32,3.79,1.23,0.05,0.16,6.92,0.1039039039
Dacite,63.27,0.79,16.95,4.69,4.58,2.78,0.09,0.26,5.86,0.09261893472
Dacite,65.83,0.56,16.85,3.38,4.29,2.11,0.07,0.29,6.62,0.1005620538
Dacite,66.6,0.47,15.68,3.44,4.35,1.72,0.06,0.12,6.22,0.09339339339
Dacite,67.78,0.89,12.22,6.35,2.04,0.75,0.08,0.23,7.11,0.1048982001
Dacite,66,0.45,15,3.7,3.62,3.51,0.12,0.21,6.72,0.1018181818
Dacite,68.05,0.58,14.74,3.66,2.96,0.98,0.12,0.14,6.3,0.09257898604
Dacite,65,0.57,15.56,3.56,3.9,2.01,0.06,0.16,6.31,0.09707692308
Dacite,66.05,0.61,15.9,3.95,4.47,1.7,0.08,0.14,6.82,0.1032551098
Dacite,65.68,0.65,14.79,5.7,5.59,1.66,0.2,0.14,3.78,0.05755176614
Dacite,68.24,0.51,14.33,4.46,3.39,0.92,0.06,0.1,6.11,0.08953692849
Dacite,63.61,0.59,15.25,4.01,4.16,2.3,0.09,0.18,6.91,0.1086307184
Dacite,68.5,0.85,14.45,4.24,3.06,0.83,0.15,0.3,6.7,0.09781021898
Dacite,66.34,0.75,15.8,4.13,3.8,1.47,0.08,0.18,7.06,0.1064214652
Dacite,63.47,0.76,16.9,4.47,4.61,2.01,0.07,0.18,6.12,0.09642350717
Dacite,65.66,0.63,15.01,5.34,6.75,0.58,0.13,0.38,4.94,0.07523606458
Dacite,69.18,0.35,14.76,3.16,4.11,2.05,0.06,0.08,5.9,0.08528476438
Dacite,63.07,0.76,16.84,5.9,5.71,2.74,0.11,0.13,5.08,0.08054542572
Dacite,63.45,0.74,16.46,4.57,4.98,3.38,0.09,0.19,6.28,0.09897557132
Dacite,69.52,0.53,13.07,4.79,2.82,1.61,0.08,0.12,5.17,0.07436708861
Dacite,65.9,0.64,16.61,3.5,4.09,1.62,0.07,0.1,6.33,0.09605462822
Dacite,65.16,0.71,16.3,3.92,4.14,1.99,0.05,0.25,7.25,0.1112645795
Dacite,65.82,0.6,15.92,3.91,5.4,1.69,0.09,0.3,5.93,0.09009419629
Dacite,68.5,0.6,15.3,4.6,1.98,1.66,0.05,0.11,6.69,0.09766423358
Dacite,68.86,0.46,14.53,3.58,2.95,0.64,0.06,0.09,6.67,0.0968632007
Dacite,65.32,0.52,17.29,4.25,4.16,1.38,0.07,0.17,6.77,0.1036436007
Dacite,63.65,0.75,16.37,4.58,5.09,1.07,0.05,0.21,5.7,0.08955223881
Dacite,64.54,0.44,15.97,4.18,5.33,1.9,0.14,0.18,5.4,0.08366904245
Dacite,63.2,0.4,16.4,4.5,4.93,2.25,0.08,0.14,5.83,0.09224683544
Dacite,65.83,0.57,15.69,3.49,3.42,0.95,0.07,0.15,7.16,0.1087650008
Dacite,64.02,0.73,14.81,5.67,5.79,3.47,0.1,0.11,5.4,0.08434864105
Dacite,63.68,0.532,16.63,4.18,4.15,1.02,0.077,0.29,6.97,0.1094535176
Dacite,63.9,0.38,16.4,4.65,5.02,2.46,0.09,0.13,5.84,0.09139280125
Dacite,64.28,0.57,17.3,4.41,4.24,1.5,0.09,0.2,6.93,0.1078095831
Dacite,68.61,0.52,14.95,3.28,3.61,1.62,0.07,0.14,6.83,0.09954817082
Dacite,64.14,0.59,16.64,4.34,4.85,1.78,0.071,0.14,6.28,0.09791082008
Dacite,66.69,0.64,15.46,3.38,4.02,1.58,0.05,0.26,5.06,0.07587344429
Dacite,68.7,0.41,15,2.06,2.84,1.11,0.05,0.11,6.82,0.09927219796
Dacite,64.78,0.47,16.51,3.16,4.48,1.32,0.05,0.103,6.67,0.1029638777
Dacite,68.57,0.45,15.59,2.87,3.51,1.51,0.06,0.17,7.27,0.1060230421
Dacite,64.03,0.66,16.03,5.04,5.5,2.42,0.12,0.12,5.65,0.08823988755
Dacite,66.3,0.94,13.04,6.5,2.63,1.22,0.09,0.27,7.1,0.1070889894
Dacite,67.6,0.391,15.4,2.6,2.79,1.01,0.055,0.135,7.53,0.1113905325
Dacite,66.5,0.9135,12.6,7.91,2.21,1.46,0.1058,0.2862,6.72,0.1010526316
Dacite,63.76,0.59,15.23,5.16,5.16,2.7,0.1,0.12,6.43,0.100846926
Dacite,64.4,0.64,16.24,4.16,6.04,2.13,0.09,0.22,5.9,0.09161490683
Dacite,68.82,0.55,14.7,5.43,1.82,0.69,0.11,0.22,7.05,0.1024411508
Dacite,69.24,0.35,15.5,2.15,3.07,0.82,0.03,0.13,7.07,0.1021086077
Dacite,66.67,0.56,15.79,4.16,5.08,1.31,0.067,0.195,5.71,0.08564571771
Dacite,65.72,0.95,15.68,4.72,3.63,1.34,0.1,0.33,7.13,0.108490566
Dacite,69.84,0.48,15.57,3.25,2.95,0.76,0.09,0.03,6.66,0.09536082474
Dacite,69.4,1.08,13.65,4.51,2.3,0.57,0.14,0.17,6.62,0.09538904899
Dacite,65.12,0.63,15.97,4.24,4.96,2.25,0.13,0.16,6.06,0.09305896806
Dacite,66.7,0.91,13.06,5.61,3.14,1.31,0.12,0.27,6.86,0.1028485757
Dacite,64.22,0.49,16.81,3.44,5.93,3.3,0.06,0.14,5.06,0.07879165369
Dacite,67.89,0.65,15.29,4.8,2.57,0.89,0.19,0.17,7.81,0.1150390337
Dacite,66.67,0.51,16.27,3.21,3.22,0.31,0.03,0.17,7.46,0.1118944053
Dacite,65.28,0.75,15.71,4.27,4.73,2.39,0.06,0.18,6.16,0.0943627451
Dacite,63.8,0.7999,13.1,7.95,3.58,1.53,0.1587,0.2244,6.9,0.1081504702
Dacite,70.21,0.4,12.33,7.14,3.48,0.28,0.17,0.06,5.15,0.07335137445
Dacite,66.8,0.8233,12.6,7.77,1.8,0.902,0.1084,0.2817,6.81,0.1019461078
Dacite,63.6,0.45,16.35,4.59,4.82,2.18,0.08,0.15,6.05,0.09512578616
